IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.																													
To be completed by wet lab team member																		Sequncing file index (DO NOT CHANGE)	To be completed by bioinformatics team member										
Sample Index (from MSTS)	sample ID (from MSTS)	Label (for QC report)	species 	Experiment Index (from METS)	Team member intials	Date submitted for sequencing	Library ID	Sequencing ID	Experiment type	Sequening core	Machine	Sequening length	Read type	Portion of lane	i7 index (if applicable)	i5 Index (or single index)	Notes		Date sequencing completed	Team member intitials	Genome	Total_reads	Final_reads	Final_yield	Mito_frac	TSS_enrichment	FRoP	Link for sharing files	Notes
SAMP-467	NCIH1048 N2	NCIH1048 N2	human	EXP-403	JYH	2/13/2018	JYH_275	JYH_275	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N704	S506		SEQ-547			hg38	13,706,734	9,597,628	0.7	0.134	44.33	0.357		
SAMP-467	NCIH1048 N2	NCIH1048 N2	human	EXP-403	JYH	3/8/2018	JYH_275	JYH_275_1_2	ATAC-seq									SEQ-547			hg38	151,657,430	97,659,574	1	0	40	0		
SAMP-468	NCIH1048 R2	NCIH1048 R2	human	EXP-404	JYH	2/13/2018	JYH_276	JYH_276	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N705	S507		SEQ-548			hg38	12,213,236	8,583,578	0.703	0.133	42.97	0.343		
SAMP-468	NCIH1048 R2	NCIH1048 R2	human	EXP-404	JYH	3/8/2018	JYH_276	JYH_276_1_2	ATAC-seq									SEQ-548			hg38	142,535,026	91,609,746	1	0	39	0		
SAMP-469	NCIH1048 V2	NCIH1048 V2	human	EXP-405	JYH	2/13/2018	JYH_277	JYH_277	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N706	S508		SEQ-549			hg38	13,071,318	9,501,702	0.727	0.106	43.34	0.35		
SAMP-469	NCIH1048 V2	NCIH1048 V2	human	EXP-405	JYH	3/8/2018	JYH_277	JYH_277_1_2	ATAC-seq									SEQ-549			hg38	142,387,076	94,994,068	1	0	40	0		
SAMP-470	NCIH1048 T5	NCIH1048 T5	human	EXP-406	JYH	2/13/2018	JYH_278	JYH_278	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N707	S510		SEQ-550			hg38	15,454,242	7,733,608	0.5	0.34	33.11	0.263		
SAMP-470	NCIH1048 T5	NCIH1048 T5	human	EXP-406	JYH	3/8/2018	JYH_278	JYH_278_1_2	ATAC-seq									SEQ-550			hg38	155,186,004	70,741,720	0	0	31	0		
SAMP-471	NCIH1048 O5	NCIH1048 O5	human	EXP-407	JYH	2/13/2018	JYH_279	JYH_279	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N710	S511		SEQ-551			hg38	13,279,944	6,916,478	0.521	0.312	24.3	0.186		
SAMP-471	NCIH1048 O5	NCIH1048 O5	human	EXP-407	JYH	3/8/2018	JYH_279	JYH_279_1_2	ATAC-seq									SEQ-551			hg38	140,484,894	65,896,336	0	0	24	0		
SAMP-472	NCIH1048 N5	NCIH1048 N5	human	EXP-408	JYH	2/13/2018	JYH_280	JYH_280	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N711	S502		SEQ-552			hg38	12,422,734	8,750,994	0.704	0.128	43.92	0.346		
SAMP-472	NCIH1048 N5	NCIH1048 N5	human	EXP-408	JYH	3/8/2018	JYH_280	JYH_280_1_2	ATAC-seq									SEQ-552			hg38	139,770,794	89,935,758	1	0	40	0		
SAMP-473	NCIH1048 R5	NCIH1048 R5	human	EXP-409	JYH	2/13/2018	JYH_281	JYH_281	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N712	S503		SEQ-553			hg38	12,804,786	8,743,694	0.683	0.151	42.63	0.328		
SAMP-473	NCIH1048 R5	NCIH1048 R5	human	EXP-409	JYH	3/8/2018	JYH_281	JYH_281_1_2	ATAC-seq									SEQ-553			hg38	151,205,088	95,092,340	1	0	39	0		
SAMP-474	NCIH1048 V5	NCIH1048 V5	human	EXP-410	JYH	2/13/2018	JYH_282	JYH_282	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N701	S505		SEQ-554			hg38	14,653,234	10,305,436	0.703	0.129	44.78	0.355		
SAMP-474	NCIH1048 V5	NCIH1048 V5	human	EXP-410	JYH	3/8/2018	JYH_282	JYH_282_1_2	ATAC-seq									SEQ-554			hg38	167,083,494	106,674,462	1	0	40	0		
SAMP-439	Day3_+Gx	Day3_+Gx	human	EXP-411	JYH	2/13/2018	JYH_283	JYH_283	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N702	S506		SEQ-555			hg38	24,054,848	672,852	0.028	0.143	25.15	0.227		
SAMP-440	Day3_-Gx	Day3_-Gx	human	EXP-412	JYH	2/13/2018	JYH_284	JYH_284	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N703	S507		SEQ-556			hg38	18,135,212	1,787,820	0.0986	0.238	20.01	0.192		
SAMP-126	GM_SNAP10	ATAC Control	human	EXP-413	JYH	2/13/2018	JYH_285	JYH_285	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.00	N704	S508		SEQ-557			hg38	3,857,330	1,927,658	0.5	0.338	31.36	0.228		
SAMP-126	GM_SNAP10	Biomek_6th_1	human	EXP-414	JYH	2/13/2018	JYH_286	JYH_286	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N711	S510		SEQ-558			hg38	14,909,838	8,071,480	0.541	0.299	29.82	0.197		
SAMP-126	GM_SNAP10	Biomek_6th_2	human	EXP-415	JYH	2/13/2018	JYH_287	JYH_287	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N712	S511		SEQ-559			hg38	14,044,070	7,330,280	0.522	0.315	30.74	0.202		
SAMP-379	DMS114_H3K27me3	DMS114_H3K27me3	human	EXP-378	AVD	2/13/2018	AVD_77	AVD_77_2	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	0.167	A5	(TruSeq)	Pfizer ChIP-seq run for more reads	SEQ-562			NA	NA	NA	NA	NA	NA	NA		
SAMP-387	C4_2_H3K27me3	C4_2_H3K27me3	human	EXP-384	AVD	2/13/2018	AVD_83	AVD_83_2	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	0.167	A2	(TruSeq)	Pfizer ChIP-seq run for more reads	SEQ-563			NA	NA	NA	NA	NA	NA	NA		
SAMP-379	DMS114_H3K27me3	DMS114_H3K27me3	human	EXP-378	AVD	2/13/2018	AVD_77	AVD_77_1_2	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	0.167	A5	(TruSeq)	Pfizer ChIP-seq run for more reads	SEQ-564			hg38	108,397,560	48,523,678	0.448	0.000305	1.839	0.0391		
SAMP-387	C4_2_H3K27me3	C4_2_H3K27me3	human	EXP-384	AVD	2/13/2018	AVD_83	AVD_83_1_2	ChIP-seq	EPIGEN	NextSeq550 High	75	PE	0.167	A2	(TruSeq)	Pfizer ChIP-seq run for more reads	SEQ-565			hg38	22,724,808	16,867,480	0.742	0.000123	2.443	0.0402		
SAMP-226	D00_Rep1	D00_Rep1	human	EXP-118	JYH	1/12/2018	JYH_127	JYH_127_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N701	S502	Neil Chi Rep1	SEQ-566			hg38	57,477,328	20,280,572	0.353	0.511	29.18	0.33		
SAMP-228	D03_Rep1	D03_Rep1	human	EXP-119	JYH	1/12/2018	JYH_128	JYH_128_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N702	S503	Neil Chi Rep1	SEQ-567			hg38	108,471,760	28,644,828	0.264	0.426	25.33	0.247		
SAMP-230	D05_Rep1_VE	D05_Rep1_VE	human	EXP-120	JYH	1/12/2018	JYH_129	JYH_129_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N703	S505	Neil Chi Rep1	SEQ-568			hg38	63,105,490	30,868,270	0.489	0.354	34.38	0.361		
SAMP-232	D07_Rep1_VE	D07_Rep1_VE	human	EXP-121	JYH	1/12/2018	JYH_130	JYH_130_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N704	S506	Neil Chi Rep1	SEQ-569			hg38	60,836,344	32,804,514	0.539	0.304	28.27	0.34		
SAMP-234	D09_Rep1_VE	D09_Rep1_VE	human	EXP-122	JYH	1/12/2018	JYH_131	JYH_131_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N705	S507	Neil Chi Rep1	SEQ-570			hg38	57,031,252	31,848,598	0.558	0.272	31	0.377		
SAMP-236	D15_Rep1_VE	D15_Rep1_VE	human	EXP-123	JYH	1/12/2018	JYH_132	JYH_132_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N706	S508	Neil Chi Rep1	SEQ-571			hg38	66,060,676	36,797,762	0.557	0.274	28.63	0.325		
SAMP-238	D05_Rep1_CM	D05_Rep1_CM	human	EXP-124	JYH	1/12/2018	JYH_133	JYH_133_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N707	S510	Neil Chi Rep1	SEQ-572			hg38	68,140,610	20,740,776	0.304	0.56	38.83	0.419		
SAMP-240	D07_Rep1_CM	D07_Rep1_CM	human	EXP-125	JYH	1/12/2018	JYH_134	JYH_134_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N710	S511	Neil Chi Rep1	SEQ-573			hg38	69,357,316	29,005,200	0.418	0.424	35.85	0.393		
SAMP-242	D09_Rep1_CM	D09_Rep1_CM	human	EXP-126	JYH	1/12/2018	JYH_135	JYH_135_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N701	S506	Neil Chi Rep1	SEQ-574			hg38	78,731,002	26,415,126	0.336	0.521	41.07	0.448		
SAMP-244	D15_Rep1_CM	D15_Rep1_CM	human	EXP-127	JYH	1/12/2018	JYH_136	JYH_136_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N702	S507	Neil Chi Rep1	SEQ-575			hg38	77,864,074	31,501,876	0.405	0.436	37.73	0.397		
SAMP-246	D05_Rep1_Epi	D05_Rep1_Epi	human	EXP-128	JYH	1/12/2018	JYH_137	JYH_137_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N703	S508	Neil Chi Rep1	SEQ-576			hg38	58,317,448	23,432,660	0.402	0.446	35.69	0.391		
SAMP-248	D07_Rep1_Epi	D07_Rep1_Epi	human	EXP-129	JYH	1/12/2018	JYH_138	JYH_138_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N704	S510	Neil Chi Rep1	SEQ-577			hg38	69,334,822	35,815,208	0.517	0.324	34.1	0.402		
SAMP-250	D09_Rep1_Epi	D09_Rep1_Epi	human	EXP-130	JYH	1/12/2018	JYH_139	JYH_139_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N705	S511	Neil Chi Rep1	SEQ-578			hg38	67,085,100	33,849,592	0.505	0.331	36.61	0.418		
SAMP-252	D15_Rep1_Epi	D15_Rep1_Epi	human	EXP-131	JYH	1/12/2018	JYH_140	JYH_140_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N706	S502	Neil Chi Rep1	SEQ-579			hg38	48,422,078	27,285,828	0.563	0.269	31.4	0.326		
SAMP-254	D20_Rep1_Epi	D20_Rep1_Epi	human	EXP-132	JYH	1/12/2018	JYH_141	JYH_141_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N707	S503	Neil Chi Rep1	SEQ-580			hg38	60,298,122	34,487,946	0.572	0.259	35.74	0.414		
SAMP-247	D05_Rep2_Epi	D05_Rep2_Epi	human	EXP-144	JYH	1/12/2018	JYH_153	JYH_153_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N703	S503		SEQ-581			hg38	63,440,790	30,821,146	0.486	0.344	34.35	0.405		
SAMP-227	D00_Rep2	D00_Rep2	human	EXP-134	JYH	1/12/2018	JYH_143	JYH_143_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N701	S510		SEQ-582			hg38	93,650,604	37,864,500	0.404	0.464	26.13	0.319		
SAMP-229	D03_Rep2	D03_Rep2	human	EXP-135	JYH	1/12/2018	JYH_144	JYH_144_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N702	S511		SEQ-583			hg38	116,021,870	54,794,590	0.472	0.325	23.05	0.276		
SAMP-231	D05_Rep2_VE	D05_Rep2_VE	human	EXP-136	JYH	1/12/2018	JYH_145	JYH_145_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N703	S503		SEQ-584			hg38	105,393,142	52,983,414	0.503	0.347	29.28	0.382		
SAMP-233	D07_Rep2_VE	D07_Rep2_VE	human	EXP-137	JYH	1/12/2018	JYH_146	JYH_146_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N704	S503		SEQ-585			hg38	99,297,060	65,647,782	0.661	0.184	24.37	0.332		
SAMP-235	D09_Rep2_VE	D09_Rep2_VE	human	EXP-138	JYH	1/12/2018	JYH_147	JYH_147_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N705	S505		SEQ-586			hg38	106,980,366	70,475,316	0.659	0.18	25.62	0.332		
SAMP-237	D15_Rep2_VE	D15_Rep2_VE	human	EXP-139	JYH	1/12/2018	JYH_148	JYH_148_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N706	S506		SEQ-587			hg38	94,825,050	60,123,294	0.634	0.206	27.17	0.321		
SAMP-239	D05_Rep2_CM	D05_Rep2_CM	human	EXP-140	JYH	1/12/2018	JYH_149	JYH_149_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N707	S507		SEQ-588			hg38	102,975,568	54,164,384	0.526	0.315	32.19	0.424		
SAMP-241	D07_Rep2_CM	D07_Rep2_CM	human	EXP-141	JYH	1/12/2018	JYH_150	JYH_150_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N710	S508		SEQ-589			hg38	92,752,372	48,612,806	0.524	0.323	32.65	0.448		
SAMP-243	D09_Rep2_CM	D09_Rep2_CM	human	EXP-142	JYH	1/12/2018	JYH_151	JYH_151_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N701	S511		SEQ-590			hg38	119,916,100	66,809,600	0.557	0.28	32.36	0.423		
SAMP-245	D15_Rep2_CM	D15_Rep2_CM	human	EXP-143	JYH	1/12/2018	JYH_152	JYH_152_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N702	S503		SEQ-591			hg38	82,022,790	47,749,106	0.582	0.24	26.96	0.358		
SAMP-249	D07_Rep2_Epi	D07_Rep2_Epi	human	EXP-145	JYH	1/12/2018	JYH_154	JYH_154_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N704	S505		SEQ-592			hg38	92,732,666	61,006,032	0.658	0.175	29.38	0.398		
SAMP-251	D09_Rep2_Epi	D09_Rep2_Epi	human	EXP-146	JYH	1/12/2018	JYH_155	JYH_155_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N705	S506		SEQ-593			hg38	83,686,024	55,245,930	0.66	0.172	29.78	0.393		
SAMP-253	D15_Rep2_Epi	D15_Rep2_Epi	human	EXP-147	JYH	1/12/2018	JYH_156	JYH_156_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N706	S507		SEQ-594			hg38	95,478,106	64,959,160	0.68	0.155	28.84	0.384		
SAMP-255	D20_Rep2_Epi	D20_Rep2_Epi	human	EXP-148	JYH	1/12/2018	JYH_157	JYH_157_1_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N707	S508		SEQ-595			hg38	103,016,882	71,380,470	0.693	0.155	28.33	0.362		
SAMP-228	D03_Rep1	D03_Rep1	human	EXP-119	JYH	1/12/2018	JYH_128	JYH_128_2m	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	N702	S503	Neil Chi Rep1	SEQ-596			mm10	70,333,696	14,957,216	0.213	0.0471	3.876	0.0317		
SAMP-229	D03_Rep2	D03_Rep2	human	EXP-135	JYH	1/12/2018	JYH_144	JYH_144_2m	ATAC-seq	IGM	HiSeq4000	100	PE	0.07	N702	S511		SEQ-597			mm10	58,673,938	3,836,932	0.0654	0.0876	11.24	0.0839		
SAMP-439	Day3_+Gx	Day3_+Gx	human	EXP-411	JYH	2/13/2018	JYH_283	JYH_283m	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N702	S506		SEQ-600			mm10	24,054,848	17,019,606	0.708	0.00208	1.552	0.0226		
SAMP-440	Day3_-Gx	Day3_-Gx	human	EXP-412	JYH	2/13/2018	JYH_284	JYH_284m	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.04	N703	S507		SEQ-601			mm10	18,135,212	11,246,086	0.62	0.00495	1.747	0.0264		
SAMP-464	NCIH1048 C2	NCIH1048 C2	human	EXP-400	JYH	2/22/2018	JYH_272	JYH_272_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N701	S503		SEQ-602			hg38	153,527,964	99,265,492	0.647	0.12	38.77	0.364		
SAMP-465	NCIH1048 T2	NCIH1048 T2	human	EXP-401	JYH	2/22/2018	JYH_273	JYH_273_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N702	S502		SEQ-603			hg38	106,009,156	71,104,506	0.671	0.111	39.14	0.374		
SAMP-466	NCIH1048 O2	NCIH1048 O2	human	EXP-402	JYH	2/22/2018	JYH_274	JYH_274_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N703	S505		SEQ-604			hg38	133,280,762	87,756,732	0.658	0.108	39.11	0.377		
SAMP-467	NCIH1048 N2	NCIH1048 N2	human	EXP-403	JYH	2/22/2018	JYH_275	JYH_275_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N704	S506		SEQ-605			hg38	137,950,696	89,524,856	0.649	0.123	40.2	0.385		
SAMP-468	NCIH1048 R2	NCIH1048 R2	human	EXP-404	JYH	2/22/2018	JYH_276	JYH_276_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N705	S507		SEQ-606			hg38	130,321,790	84,393,426	0.648	0.121	40.01	0.379		
SAMP-469	NCIH1048 V2	NCIH1048 V2	human	EXP-405	JYH	2/22/2018	JYH_277	JYH_277_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N706	S508		SEQ-607			hg38	129,315,758	87,041,602	0.673	0.0957	40.37	0.384		
SAMP-470	NCIH1048 T5	NCIH1048 T5	human	EXP-406	JYH	2/22/2018	JYH_278	JYH_278_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N707	S510		SEQ-608			hg38	139,731,762	64,572,528	0.462	0.321	31.54	0.294		
SAMP-471	NCIH1048 O5	NCIH1048 O5	human	EXP-407	JYH	2/22/2018	JYH_279	JYH_279_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N710	S511		SEQ-609			hg38	127,204,950	60,451,488	0.475	0.295	24.55	0.22		
SAMP-472	NCIH1048 N5	NCIH1048 N5	human	EXP-408	JYH	2/22/2018	JYH_280	JYH_280_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N711	S502		SEQ-610			hg38	127,348,060	82,658,514	0.649	0.117	40.75	0.378		
SAMP-473	NCIH1048 R5	NCIH1048 R5	human	EXP-409	JYH	2/22/2018	JYH_281	JYH_281_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N712	S503		SEQ-611			hg38	138,400,302	87,739,498	0.634	0.137	39.7	0.364		
SAMP-474	NCIH1048 V5	NCIH1048 V5	human	EXP-410	JYH	2/22/2018	JYH_282	JYH_282_2	ATAC-seq	IGM	HiSeq4000	50	PE	0.18	N701	S505		SEQ-612			hg38	152,430,260	98,188,398	0.644	0.118	40.56	0.382		
SAMP-388 / SAMP-389	C4_2_H3K27me3	C4_2_H3K27me3	human	EXP-444	AVD	2/28/2018	AVD_108	AVD_108	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE	0.33	Tru-seq	A05	Pfizer round 2 - pooled two tubes of C4-2 - *sequenced with Sora's library (n=1) and input testing libraries (n=3)	SEQ-636			hg38	68,905,494	47,703,992	0.692	0.00251	1.543	0.0274		
SAMP-388 / SAMP-389	C4_2_H3K4me3_1	C4_2_H3K4me3_1	human	EXP-445	AVD	2/28/2018	AVD_109	AVD_109	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE	0.10	Tru-seq	A02	Pfizer round 2 - pooled two tubes of C4-2 - *sequenced with Sora's library (n=1) and input testing libraries (n=3)	SEQ-637			hg38	42,879,352	34,839,070	0.812	0.000338	23.31	0.811		
SAMP-388 / SAMP-389	C4_2_H3K4me3_2	C4_2_H3K4me3_2	human	EXP-446	AVD	2/28/2018	AVD_110	AVD_110	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE	0.10	Tru-seq	A04	Pfizer round 2 - pooled two tubes of C4-2 - *sequenced with Sora's library (n=1) and input testing libraries (n=3)	SEQ-638			hg38	38,681,338	31,414,802	0.812	0.000666	21.1	0.761		
SAMP-388 / SAMP-389	C4_2_Input	C4_2_Input	human	EXP-447	AVD	2/28/2018	AVD_111	AVD_111	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE	0.20	Tru-seq	A14	Pfizer round 2 - pooled two tubes of C4-2 - *sequenced with Sora's library (n=1) and input testing libraries (n=3)	SEQ-639			hg38	63,238,336	49,117,716	0.777	0.00631	1.309	0.0169		
NA	K562_Input test varying DF_4	K562 Chr_10m_DF 20	human	EXP-425	AVD	2/28/2018	AVD_89	AVD_89	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE	0.07	Tru-seq	A06	Input testing - varying DF	SEQ-640			hg38	10,150,256	8,266,022	0.814	0.00794	1.312	0.0174		
NA	K562_Input test varying DF_5	K652 Chr_10m_DF 25 	human	EXP-426	AVD	2/28/2018	AVD_90	AVD_90	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE	0.07	Tru-seq	A07	Input testing - varying DF	SEQ-641			hg38	4,847,600	3,948,470	0.815	0.00544	1.391	0.018		
NA	K562_Input test varying DF_7	K562 Chr_20m_DF 15	human	EXP-428	AVD	2/28/2018	AVD_92	AVD_92	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE	0.07	Tru-seq	A12	Input testing - varying DF	SEQ-642			hg38	15,346,700	12,443,126	0.811	0.0111	1.306	0.0178		
NA	K562_Input test varying DF_1	K562 Chr_10m_DF 5	human	EXP-422	AVD	3/12/2018	AVD_112	AVD_112	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE		Tru-seq	A02	Input testing - varying DF	SEQ-643			hg38	7,093,516	5,781,074	0.815	0.012	1.407	0.022		
NA	K562_Input test varying DF_2	K562 Chr_10m_DF 10	human	EXP-423	AVD	3/12/2018	AVD_87	AVD_87	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE		Tru-seq	A04	Input testing - varying DF	SEQ-644			hg38	9,826,138	8,033,114	0.818	0.0122	1.325	0.0191		
NA	K562_Input test varying DF_3	K562 Chr_10m_DF 15	human	EXP-424	AVD	3/12/2018	AVD_88	AVD_88	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE		Tru-seq	A05	Input testing - varying DF	SEQ-645			hg38	10,337,342	8,417,508	0.814	0.0116	1.327	0.0177		
NA	K562_Input test varying DF_6	K562 Chr_20m_DF 10	human	EXP-427	AVD	3/12/2018	AVD_91	AVD_91	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE		Tru-seq	A14	Input testing - varying DF	SEQ-646			hg38	6,866,098	5,593,328	0.815	0.0156	1.417	0.0214		
NA	K562_Input test varying DF_8	K562 Chr_20m_DF 20	human	EXP-429	AVD	3/12/2018	AVD_93	AVD_93	ChIP-seq	EPIGEN	NextSeq550 Mid	75	PE		Tru-seq	A13	Input testing - varying DF	SEQ-647			hg38	10,598,726	8,669,066	0.818	0.00938	1.307	0.0178		
SAMP-498	NA0007890555	Salivary Gland	human	EXP-463	XH	3/9/2018	XH_8	XH_8_1	scRNA-seq	EPIGEN	NextSeq550 Mid	26+8+0+98	PE	0.57	Tru-seq	G1		SEQ-649			NA	NA	NA	NA	NA	NA	NA		
SAMP-498	NA0007890555	Salivary Gland	human	EXP-463	XH	3/12/2018	XH_8	XH_8_2	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.14	Tru-seq	G1		SEQ-649			NA	NA	NA	NA	NA	NA	NA		
SAMP-499	NA0007890555	Salivary Gland 	human	EXP-464	XH	3/9/2018	XH_9	XH_9_1	scRNA-seq	EPIGEN	NextSeq550 Mid	26+8+0+98	PE	0.57	Tru-seq	G2		SEQ-650			NA	NA	NA	NA	NA	NA	NA		
SAMP-499	NA0007890555	Salivary Gland 	human	EXP-464	XH	3/12/2018	XH_9	XH_9_2	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.14	Tru-seq	G2		SEQ-650			NA	NA	NA	NA	NA	NA	NA		
SAMP-500	NA0007890324	Salivary Gland w/DMSO	human	EXP-465	XH	3/9/2018	XH_10	XH_10_1	scRNA-seq	EPIGEN	NextSeq550 Mid	26+8+0+98	PE	0.57	Tru-seq	G3		SEQ-651			NA	NA	NA	NA	NA	NA	NA		
SAMP-500	NA0007890324	Salivary Gland w/DMSO	human	EXP-465	XH	3/12/2018	XH_10	XH_10_2	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.14	Tru-seq	G3		SEQ-651			NA	NA	NA	NA	NA	NA	NA		
SAMP-501	NA0007888958	Epidermis	human	EXP-466	XH	3/9/2018	XH_11	XH_11_1	scRNA-seq	EPIGEN	NextSeq550 Mid	26+8+0+98	PE	0.57	Tru-seq	G5		SEQ-652			NA	NA	NA	NA	NA	NA	NA		
SAMP-501	NA0007888958	Epidermis	human	EXP-466	XH	3/12/2018	XH_11	XH_11_2	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.14	Tru-seq	G5		SEQ-652			NA	NA	NA	NA	NA	NA	NA		
SAMP-502	NA0007888648	Epidermis w/DMSO	human	EXP-467	XH	3/9/2018	XH_12	XH_12_1	scRNA-seq	EPIGEN	NextSeq550 Mid	26+8+0+98	PE	0.57	Tru-seq	G4		SEQ-653			NA	NA	NA	NA	NA	NA	NA		
SAMP-502	NA0007888648	Epidermis w/DMSO	human	EXP-467	XH	3/12/2018	XH_12	XH_12_2	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.14	Tru-seq	G4		SEQ-653			NA	NA	NA	NA	NA	NA	NA		
SAMP-392	CEMBA171206_3C	Mini Brain Atlas_Mop_3C_Rep1	mouse	EXP-317	XW	12/18/2018	XW_45	XW_45	scATAC-seq	LICR	HiSeq2500	50+43+37+50	PE	1.00				SEQ-663			NA	NA	NA	NA	NA	NA	NA		
SAMP-393	CEMBA171207_3C	Mini Brain Atlas_Mop_3C_Rep2	mouse	EXP-318	XW	12/18/2018	XW_46	XW_46	scATAC-seq	LICR	HiSeq2500	50+43+37+50	PE	1.00				SEQ-664			NA	NA	NA	NA	NA	NA	NA		
SAMP-400	CEMBA171212_4B	Mini Brain Atlas_4B_Rep1	mouse	EXP-314	XW	1/22/2018	XW_47	XW_47	scATAC-seq	LICR	HiSeq2500	50+43+37+50	PE	1.00				SEQ-665			NA	NA	NA	NA	NA	NA	NA		
SAMP-401	CEMBA171213_4B	Mini Brain Atlas_4B_Rep2	mouse	EXP-315	XW	1/22/2018	XW_48	XW_48	scATAC-seq	LICR	HiSeq2500	50+43+37+50	PE	1.00				SEQ-666			NA	NA	NA	NA	NA	NA	NA		
