IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.																													
To be completed by wet lab team member																		Sequncing file index (DO NOT CHANGE)	To be completed by bioinformatics team member										
Sample Index (from MSTS)	sample ID (from MSTS)	Label (for QC report)	species 	Experiment Index (from METS)	Team member intials	Date submitted for sequencing	Library ID	Sequencing ID	Experiment type	Sequening core	Machine	Sequening length	Read type	Portion of lane	i5 Index (or single index)	i7 index (if applicable)	Notes		Date sequencing completed	Team member intitials	Genome	Total_reads	Final_reads	Final_yield	Mito_frac	TSS_enrichment	FRoP	Link for sharing files	Notes
SAMP-195	MCCT-051.2	MCCT-051.2	human	EXP-226	XW	11/15/2017	XW_28	XW_28	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S505	N704	XW	SEQ-231			hg38	143,054,446	103,216,608	0.722	0.0714	3.362	0.0535		
SAMP-197	MCCT-051.4	MCCT-051.4	human	EXP-227	XW	11/15/2017	XW_29	XW_29	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S506	N705	XW	SEQ-232			hg38	57,916,998	35,927,550	0.62	0.046	2.738	0.0413		
SAMP-344	A_#001 & B_#001	Pat1_T1_Oesophagal_Cancer	human	EXP-228	XW	11/15/2017	XW_30	XW_30	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S503	N701	XW	SEQ-233			hg38	151,366,242	108,928,086	0.72	0.0675	6.465	0.0758		
SAMP-345	A_#002 & B_#002	Pat2_T1_Oesophagal_Cancer	human	EXP-229	XW	11/15/2017	XW_31	XW_31	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S505	N702	XW	SEQ-234			hg38	119,868,468	89,556,952	0.747	0.0391	4.105	0.0569		
SAMP-391	Mouse Cortex MniBrain Test	Control	mouse	EXP-230	XW	11/15/2017	XW_32	XW_32	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S511	N711	XW	SEQ-235			mm10	117,831,028	96,472,560	0.819	0.00662	15.15	0.148		
SAMP-125	R237	R237	human	EXP-231	JYH	12/4/2017	JYH_165	JYH_165	scATAC-seq	LICR	HiSeq2500	50+43+37+50	PE	0.20	rep2	rep2	FlashFrozen, 3M	SEQ-236			hg38	63,342,216	1,910,118	0.0302	0.287	2.961	0.0223		
SAMP-45	AN02646	AN02646	human	EXP-232	JYH	12/4/2017	JYH_166	JYH_166	scATAC-seq	LICR	HiSeq2500	50+43+37+50	PE	0.80	rep1	rep1	hippocampus	SEQ-237			hg38	253,558,804	39,946,078	0.158	0.0136	22.78	0.235		
SAMP-212	MCCT-40.17	MCCT-40.17	human	EXP-233	JYH	12/5/2017	JYH_167	JYH_167	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.14	B1	B1	New Califano	SEQ-238			NA	NA	NA	NA	NA	NA	NA		
SAMP-213	MCCT-40.20	MCCT-40.20	human	EXP-234	JYH	12/5/2017	JYH_168	JYH_168	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.14	B2	B2	New Califano	SEQ-239			NA	NA	NA	NA	NA	NA	NA		
SAMP-214	MCCT-40.18	MCCT-40.18	human	EXP-235	JYH	12/5/2017	JYH_169	JYH_169	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.14	B5	B5	New Califano	SEQ-240			NA	NA	NA	NA	NA	NA	NA		
SAMP-215	MCCT-40.19	MCCT-40.19	human	EXP-236	JYH	12/5/2017	JYH_170	JYH_170	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.14	B6	B6	New Califano	SEQ-241			NA	NA	NA	NA	NA	NA	NA		
SAMP-17	2015-965A1	2015-965A1	human	EXP-238	JYH	12/5/2017	JYH_172	JYH_172	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.11	A3	A3	resubmission	SEQ-242			NA	NA	NA	NA	NA	NA	NA		
SAMP-18	2015-1103A1	2015-1103A1	human	EXP-239	JYH	12/5/2017	JYH_173	JYH_173	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.11	A4	A4	resubmission	SEQ-243			NA	NA	NA	NA	NA	NA	NA		
SAMP-19	2016-1320A1	2016-1320A1	human	EXP-240	JYH	12/5/2017	JYH_174	JYH_174	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.11	A5	A5	resubmission	SEQ-244			NA	NA	NA	NA	NA	NA	NA		
SAMP-20	2017-2216	2017-2216	human	EXP-241	JYH	12/5/2017	JYH_175	JYH_175	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.11	A6	A6	resubmission	SEQ-245			NA	NA	NA	NA	NA	NA	NA		
SAMP-192	GBM - BC091t	GBM - BC091t	human	EXP-242	AVD	12/6/2017	AVD_39	AVD_39	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.42	S505	N701	PE 75; GBM ATAC 1	SEQ-246			hg38	143,368,002	85,293,422	0.595	0.132	14.11	0.0911		
SAMP-193	GBM - BC151t	GBM - BC151t	human	EXP-243	AVD	12/6/2017	AVD_40	AVD_40	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.42	S506	N702	PE 75; GBM ATAC 1	SEQ-247			hg38	147,435,354	107,632,198	0.73	0.0238	2.988	0.0311		
SAMP-176	GBM - BC003t	GBM - BC003t	human	EXP-244	AVD	2017-12-13	AVD_53	AVD_53	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S503	N703	GBM ATAC 2; Lane 1	SEQ-248			hg38	110,780,802	75,163,046	0.678	0.0112	2.021	0.0269		
SAMP-177	GBM - BC023t	GBM - BC023t	human	EXP-245	AVD	2017-12-13	AVD_54	AVD_54	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S505	N704	GBM ATAC 2; Lane 1	SEQ-249			hg38	104,027,528	70,073,298	0.674	0.00539	1.961	0.0311		
SAMP-178	GBM - BC034t	GBM - BC034t	human	EXP-246	AVD	2017-12-13	AVD_55	AVD_55	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S506	N705	GBM ATAC 2; Lane 1	SEQ-250			hg38	108,889,386	70,888,024	0.651	0.0278	2.159	0.0291		
SAMP-179	GBM - BC039t	GBM - BC039t	human	EXP-247	AVD	2017-12-13	AVD_56	AVD_56	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S508	N706	GBM ATAC 2; Lane 1	SEQ-251			hg38	89,592,500	57,293,706	0.639	0.114	17.54	0.131		
SAMP-180	GBM - BC043t	GBM - BC043t	human	EXP-248	AVD	2017-12-13	AVD_57	AVD_57	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S510	N710	GBM ATAC 2; Lane 1	SEQ-252			hg38	145,874,746	93,119,398	0.638	0.0315	4.486	0.0392		
SAMP-181	GBM - BC044t	GBM - BC044t	human	EXP-249	AVD	2017-12-13	AVD_58	AVD_58	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S511	N711	GBM ATAC 2; Lane 1	SEQ-253			hg38	103,893,226	69,176,836	0.666	0.0661	8.848	0.0789		
SAMP-182	GBM - BC048t	GBM - BC048t	human	EXP-250	AVD	2017-12-13	AVD_59	AVD_59	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S503	N707	GBM ATAC 3; Lane 2	SEQ-254			hg38	114,677,872	78,636,318	0.686	0.044	17.98	0.135		
SAMP-183	GBM - BC051t	GBM - BC051t	human	EXP-251	AVD	2017-12-13	AVD_60	AVD_60	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S508	N712	GBM ATAC 3; Lane 2	SEQ-255			hg38	117,626,894	80,896,522	0.688	0.0431	6.863	0.0592		
SAMP-184	GBM - BC067t	GBM - BC067t	human	EXP-252	AVD	2017-12-13	AVD_61	AVD_61	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S510	N701	GBM ATAC 3; Lane 2	SEQ-256			hg38	92,515,084	64,599,568	0.698	0.00533	2.047	0.0264		
SAMP-185	GBM - BC068t	GBM - BC068t	human	EXP-253	AVD	2017-12-13	AVD_62	AVD_62	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	S511	N702	GBM ATAC 3; Lane 2	SEQ-257			hg38	111,666,212	75,112,040	0.673	0.0636	27.8	0.297		
SAMP-186	GBM - BC072t	GBM - BC072t	human	EXP-254	AVD	2017-12-13	AVD_63	AVD_63	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	X520	N703	GBM ATAC 3; Lane 2	SEQ-258			hg38	75,749,298	51,715,874	0.683	0.00248	1.634	0.0207		
SAMP-187	GBM - BC078t	GBM - BC078t	human	EXP-255	AVD	2017-12-13	AVD_64	AVD_64	ATAC-seq	LICR	HiSeq4000	50	PE	0.17	X521	N704	GBM ATAC 3; Lane 2	SEQ-259			hg38	39,827,764	28,457,554	0.715	0.00825	3.55	0.0342		
SAMP-188	GBM - BC081t	GBM - BC081t	human	EXP-256	AVD	2017-12-13	AVD_65	AVD_65	ATAC-seq	LICR	HiSeq4000	50	PE	0.14	X522	N705	GBM ATAC 3; Lane 3, Submitted with Telese	SEQ-260			hg38	76,466,744	42,591,608	0.557	0.184	7.488	0.131		
SAMP-189	GBM - BC083t	GBM - BC083t	human	EXP-257	AVD	2017-12-13	AVD_66	AVD_66	ATAC-seq	LICR	HiSeq4000	50	PE	0.14	X523	N706	GBM ATAC 3; Lane 3, Submitted with Telese	SEQ-261			hg38	70,365,564	43,363,224	0.616	0.0108	5.639	0.0579		
SAMP-190	GBM - BC085t	GBM - BC085t	human	EXP-258	AVD	2017-12-13	AVD_67	AVD_67	ATAC-seq	LICR	HiSeq4000	50	PE	0.14	X524	N710	GBM ATAC 3; Lane 3, Submitted with Telese	SEQ-262			hg38	57,136,500	35,747,412	0.626	0.0415	16.53	0.17		
SAMP-191	GBM - BC088t	GBM - BC088t	human	EXP-259	AVD	2017-12-13	AVD_68	AVD_68	ATAC-seq	LICR	HiSeq4000	50	PE	0.14	X525	N711	GBM ATAC 3; Lane 3, Submitted with Telese	SEQ-263			hg38	72,694,484	43,724,508	0.601	0.0419	10.43	0.095		
SAMP-104	GBM10.16	GBM10.16	human	EXP-260	JYH	11/9/2017	JYH_176	JYH_176	scATAC-seq	LICR	HiSeq2500	50+43+37+50	PE	0.50	R1	R1	Cohen	SEQ-264			NA	NA	NA	NA	NA	NA	NA		
SAMP-92	GBM10.4	GBM10.4	human	EXP-261	JYH	11/9/2017	JYH_177	JYH_177	scATAC-seq	LICR	HiSeq2500	50+43+37+50	PE	0.50	R2	R2	Cohen	SEQ-265			NA	NA	NA	NA	NA	NA	NA		
SAMP-16	2016-1456A2	0.5% Tween-20	human	EXP-237	JYH	8/28/2017	JYH_171	JYH_171	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.25	B5	B5	Old Califano	SEQ-266			NA	NA	NA	NA	NA	NA	NA		
SAMP-16	2016-1456A2	0.1% NP-40	human	EXP-238	JYH	8/28/2017	JYH_178	JYH_178	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.25	B6	B6	Old Califano	SEQ-267			NA	NA	NA	NA	NA	NA	NA		
SAMP-16	2016-1456A2	0.1% Triton-X	human	EXP-239	JYH	8/28/2017	JYH_179	JYH_179	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.25	B7	B7	Old Califano	SEQ-268			NA	NA	NA	NA	NA	NA	NA		
SAMP-16	2016-1456A2	0.2% Triton-X	human	EXP-240	JYH	8/28/2017	JYH_180	JYH_180	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.25	B8	B8	Old Califano	SEQ-269			NA	NA	NA	NA	NA	NA	NA		
SAMP-16	2016-1456A2	0.01% Digitonin	human	EXP-241	JYH	8/28/2017	JYH_181	JYH_181	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.25	B9	B9	Old Califano	SEQ-270			NA	NA	NA	NA	NA	NA	NA		
SAMP-276	8_HS 	8_HS 	rat	EXP-260	JYH	12/13/2017	JYH_182	JYH_182	ATAC-seq	LICR	HiSeq4000	50	PE	0.05	S502	N701	Telese; Submitted with GBM	SEQ-271			rn6	51,711,552	14,430,216	0.279	0.468	5.815	0		
SAMP-279	11_HS 	11_HS 	rat	EXP-261	JYH	12/13/2017	JYH_183	JYH_183	ATAC-seq	LICR	HiSeq4000	50	PE	0.05	S503	N702	Telese; Submitted with GBM	SEQ-272			rn6	44,376,532	10,201,330	0.23	0.541	9.933	0		
SAMP-279	11_HS_filter	11_HS_filter	rat	EXP-262	JYH	12/13/2017	JYH_184	JYH_184	ATAC-seq	LICR	HiSeq4000	50	PE	0.05	S505	N703	Telese; Submitted with GBM	SEQ-273			rn6	44,653,368	14,856,318	0.333	0.401	11.46	0		
SAMP-279	11_MACS	11_MACS	rat	EXP-263	JYH	12/13/2017	JYH_185	JYH_185	ATAC-seq	LICR	HiSeq4000	50	PE	0.05	S506	N704	Telese; Submitted with GBM	SEQ-274			rn6	39,670,548	19,933,356	0.502	0.133	5.907	0		
SAMP-279	11_Pastle	11_Pastle	rat	EXP-264	JYH	12/13/2017	JYH_186	JYH_186	ATAC-seq	LICR	HiSeq4000	50	PE	0.05	S507	N705	Telese; Submitted with GBM	SEQ-275			rn6	40,630,828	15,694,426	0.386	0.303	9.985	0		
SAMP-279	11_Pastle_filter	11_Pastle_filter	rat	EXP-265	JYH	12/13/2017	JYH_187	JYH_187	ATAC-seq	LICR	HiSeq4000	50	PE	0.05	S508	N706	Telese; Submitted with GBM	SEQ-276			rn6	38,469,202	15,648,766	0.407	0.289	9.764	0		
SAMP-127	GM_SNAP10_swing	ATAC control	human	EXP-266	JYH	12/13/2017	JYH_188	JYH_188	ATAC-seq	LICR	HiSeq4000	50	PE	0.05	S510	N707	Telese; Submitted with GBM	SEQ-277			hg38	45,969,308	21,293,232	0.463	0.242	22.89	0.189		
SAMP-127	GM_SNAP10_fixed	GM_SNAP10_fixed	human	EXP-267	JYH	12/13/2017	JYH_189	JYH_189	ATAC-seq	LICR	HiSeq4000	50	PE	0.05	S511	N710	Telese; Submitted with GBM	SEQ-278			hg38	34,257,218	15,412,376	0.45	0.271	22.28	0.18		
N/A	N/A (special case; not on our MSTS)	EC1	mouse	N/A	DUG	N/A	EC1	EC1	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC1.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-279			mm10	34,028,898	6,532,710	0.192	0.000396	1.896	0.0795		
N/A	N/A (special case; not on our MSTS)	EC2	mouse	N/A	DUG	N/A	EC2	EC2	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC2.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-280			mm10	33,820,798	9,311,818	0.275	0.000283	7.965	0.367		
N/A	N/A (special case; not on our MSTS)	EC3	mouse	N/A	DUG	N/A	EC3	EC3	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC3.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-281			mm10	19,909,992	4,155,569	0.209	0.000389	26.43	0.501		
N/A	N/A (special case; not on our MSTS)	EC4	mouse	N/A	DUG	N/A	EC4	EC4	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC4.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-282			mm10	14,923,519	1,534,092	0.103	0.00103	9.517	0.178		
N/A	N/A (special case; not on our MSTS)	EC5	mouse	N/A	DUG	N/A	EC5	EC5	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC5.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-283			mm10	57,483,435	6,651,237	0.116	0.000669	1.872	0.0302		
N/A	N/A (special case; not on our MSTS)	EC6	mouse	N/A	DUG	N/A	EC6	EC6	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC6.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-284			mm10	64,201,584	14,268,843	0.222	0.00117	7.075	0.133		
N/A	N/A (special case; not on our MSTS)	EC7	mouse	N/A	DUG	N/A	EC7	EC7	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC7.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-285			mm10	34,114,611	1,601,422	0.0469	0.000381	1.945	0.018		
N/A	N/A (special case; not on our MSTS)	EC8	mouse	N/A	DUG	N/A	EC8	EC8	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC8.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-286			mm10	141,924	6,177	0.0435	0.000545	6.921	0.0635		
N/A	N/A (special case; not on our MSTS)	EC9	mouse	N/A	DUG	N/A	EC9	EC9	Other (please explain in notes)	LICR	Other (please explain in notes)	50	SE	N/A	N/A	N/A	fastq: /mnt/silencer2/home/sochee/public_html/ENCODE/smallintestine1/EC9.fastq.bz2, chip-seq data from Ren lab -- want to check mapping stats in our pipeline	SEQ-287			mm10	27,798,856	1,178,202	0.0424	0.000559	1.986	0.0703		
N/A	N/A (special case; not on our MSTS)	D0_B1_T1_SP245	human	N/A	DUG	N/A	SP245	SP245	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D0_1_SP245_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D0_1_SP245_R2.fastq.bz2	SEQ-288			hg38	100,707,560	33,572,382	0.333	0.368	30.84	0.333		
N/A	N/A (special case; not on our MSTS)	D0_B1_T2_SP246	human	N/A	DUG	N/A	SP246	SP246	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D0b_1_SP246_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D0b_1_SP246_R2.fastq.bz2	SEQ-289			hg38	90,675,376	32,052,448	0.353	0.377	28.37	0.329		
N/A	N/A (special case; not on our MSTS)	D15_B1_T2_SP247	human	N/A	DUG	N/A	SP247	SP247	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D15b_1_SP247_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D15b_1_SP247_R2.fastq.bz2	SEQ-290			hg38	109,656,954	37,897,714	0.346	0.484	36.72	0.378		
N/A	N/A (special case; not on our MSTS)	D15_B2_T2_SP248	human	N/A	DUG	N/A	SP248	SP248	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D15b_2_SP248_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D15b_2_SP248_R2.fastq.bz2	SEQ-291			hg38	103,637,816	46,232,348	0.446	0.3	24.72	0.242		
N/A	N/A (special case; not on our MSTS)	D80_B1_T2_SP249	human	N/A	DUG	N/A	SP249	SP249	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D80b_1_SP249_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D80b_1_SP249_R2.fastq.bz2	SEQ-292			hg38	104,932,150	17,913,746	0.171	0.71	37.66	0.285		
N/A	N/A (special case; not on our MSTS)	D2_B1_T1_SP268	human	N/A	DUG	N/A	SP268	SP268	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D2_1_SP268_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D2_1_SP268_R2.fastq.bz2	SEQ-293			hg38	158,816,132	40,830,152	0.257	0.459	29.47	0.38		
N/A	N/A (special case; not on our MSTS)	D5_B1_T1_SP269	human	N/A	DUG	N/A	SP269	SP269	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D5_1_SP269_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D5_1_SP269_R2.fastq.bz2	SEQ-294			hg38	151,800,034	45,662,630	0.301	0.38	29.75	0.37		
N/A	N/A (special case; not on our MSTS)	D7_B1_T1_SP270	human	N/A	DUG	N/A	SP270	SP270	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D7_1_SP270_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D7_1_SP270_R2.fastq.bz2	SEQ-295			hg38	179,312,990	51,047,256	0.285	0.394	36.76	0.42		
N/A	N/A (special case; not on our MSTS)	D15_B1_T1_SP271	human	N/A	DUG	N/A	SP271	SP271	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D15_1_SP271_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D15_1_SP271_R2.fastq.bz2	SEQ-296			hg38	56,835,974	21,806,724	0.384	0.465	41.03	0.348		
N/A	N/A (special case; not on our MSTS)	D80_B1_T1_SP275	human	N/A	DUG	N/A	SP275	SP275	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D80_1_SP275_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D80_1_SP275_R2.fastq.bz2	SEQ-297			hg38	46,178,402	10,025,550	0.217	0.664	36.87	0.262		
N/A	N/A (special case; not on our MSTS)	D0_B2_T1_SP280	human	N/A	DUG	N/A	SP280	SP280	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D0_2_SP280_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D0_2_SP280_R2.fastq.bz2	SEQ-298			hg38	65,544,102	42,012,616	0.641	0.169	24.84	0.273		
N/A	N/A (special case; not on our MSTS)	D2_B2_T1_SP281	human	N/A	DUG	N/A	SP281	SP281	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D2_2_SP281_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D2_2_SP281_R2.fastq.bz2	SEQ-299			hg38	82,179,934	40,815,706	0.497	0.346	34.78	0.384		
N/A	N/A (special case; not on our MSTS)	D5_B2_T1_SP282	human	N/A	DUG	N/A	SP282	SP282	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D5_2_SP282_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D5_2_SP282_R2.fastq.bz2	SEQ-300			hg38	74,019,906	43,234,916	0.584	0.243	27.57	0.343		
N/A	N/A (special case; not on our MSTS)	D7_B2_T1_SP283	human	N/A	DUG	N/A	SP283	SP283	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D7_2_SP283_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D7_2_SP283_R2.fastq.bz2	SEQ-301			hg38	71,055,746	38,958,010	0.548	0.287	41.49	0.446		
N/A	N/A (special case; not on our MSTS)	D15_B2_T1_SP284	human	N/A	DUG	N/A	SP284	SP284	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D15_2_SP284_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D15_2_SP284_R2.fastq.bz2	SEQ-302			hg38	69,956,920	34,129,176	0.488	0.353	40.62	0.379		
N/A	N/A (special case; not on our MSTS)	D80_B2_T1_SP285	human	N/A	DUG	N/A	SP285	SP285	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D80_2_SP285_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D80_2_SP285_R2.fastq.bz2	SEQ-303			hg38	78,146,302	21,625,156	0.277	0.625	37.56	0.328		
SAMP-126	GM_19240 5% DMSO	ATAC control	Human	EXP-268	RMM	12/6/2017	RMM_1	RMM_1	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.03	S508	N706	PE 75; ATAC Trial 6	SEQ-304			hg38	15,743,336	9,278,854	0.589	0.22	29.17	0.239		
Other	N/A (Tissue acquired from AVD; not on our MSTS)	LS_1	Mouse	EXP-269	RMM	12/6/2017	RMM_2	RMM_2	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.03	S505	N712	PE 75; Tn5 0.1µl	SEQ-305			mm10	248,936	179,228	0.72	0.275	30.88	0.28		
Other	N/A (Tissue acquired from AVD; not on our MSTS)	LS_2	Mouse	EXP-270	RMM	12/6/2017	RMM_3	RMM_3	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.03	S506	N711	PE 75; Tn5 0.5µl	SEQ-306			mm10	7,323,384	4,134,202	0.565	0.269	29.77	0.245		
Other	N/A (Tissue acquired from AVD; not on our MSTS)	LS_3	Mouse	EXP-271	RMM	12/6/2017	RMM_4	RMM_4	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.03	S511	N705	PE 75; Tn5 1.0µl	SEQ-307			mm10	37,943,484	22,644,506	0.597	0.216	21.79	0.201		
Other	N/A (Tissue acquired from AVD; not on our MSTS)	LS_4	Mouse	EXP-272	RMM	12/6/2017	RMM_5	RMM_5	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.03	S507	N703	PE 75; Tn5 2.0µl	SEQ-308			mm10	16,437,304	9,736,592	0.592	0.228	18.09	0.172		
Other	N/A (Tissue acquired from AVD; not on our MSTS)	LS_5	Mouse	EXP-273	RMM	12/6/2017	RMM_6	RMM_6	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.03	S510	N704	PE 75; Tn5 5.0µl	SEQ-309			mm10	5,726,178	3,634,486	0.635	0.188	18.18	0.17		
SAMP-127	GM_19240 5% DMSO	ATAC control	Human	EXP-274	RMM	11/29/2017	RMM_7	RMM_7	ATAC-seq	EPIGEN	NextSeq550 Mid	75	PE	0.06	S503	N701	PE 75; ATAC Trial 7	SEQ-310			hg38	23,165,280	13,116,772	0.566	0.252	25.71	0.211		
